epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4764,1.47292,3.15784,1.41463,0.2827,0.84426,0.42043,0.21237,1.47105,2.2945,1.44969,0.000412186,0.000412186,0.000412186
2,73.1432,1.41996,2.23798,1.36268,0.44872,0.83605,0.52561,0.3223,1.30356,2.56925,1.48453,0.000812442,0.000812442,0.000812442
3,108.175,1.33619,1.99144,1.31071,0.34743,0.82105,0.58678,0.35515,1.2421,2.21318,1.28612,0.0011962,0.0011962,0.0011962
4,145.308,1.3336,1.88174,1.29755,0.75202,0.73027,0.88377,0.51279,1.29109,1.78626,1.28475,0.00117575,0.00117575,0.00117575
5,181.531,1.28349,1.69645,1.2848,0.78865,0.78496,0.84276,0.51725,1.36389,1.44544,1.43193,0.001151,0.001151,0.001151
6,218.16,1.25319,1.49713,1.2732,0.87222,0.86225,0.89736,0.54985,1.27969,1.32938,1.3238,0.00112625,0.00112625,0.00112625
7,255.737,1.24877,1.43968,1.27408,0.81869,0.84235,0.90347,0.5415,1.39789,1.58708,1.49113,0.0011015,0.0011015,0.0011015
8,290.701,1.23306,1.36902,1.28367,0.85573,0.91827,0.9218,0.58535,1.21485,1.3335,1.34654,0.00107675,0.00107675,0.00107675
9,326.247,1.27337,1.29215,1.29941,0.84616,0.69416,0.89226,0.55883,1.33034,1.48984,1.41693,0.001052,0.001052,0.001052
10,361.693,1.19065,1.21747,1.26579,0.93149,0.94601,0.95531,0.64698,1.11664,1.02153,1.25307,0.00102725,0.00102725,0.00102725
11,396.675,1.18256,1.20941,1.24506,0.90215,0.9206,0.96701,0.61188,1.26125,1.17488,1.39083,0.0010025,0.0010025,0.0010025
12,432.576,1.2229,1.2089,1.26816,0.84435,0.92325,0.96229,0.54674,1.43433,1.16257,1.58966,0.00097775,0.00097775,0.00097775
13,468.135,1.16986,1.14528,1.2457,0.89067,0.90863,0.94485,0.6001,1.23912,0.98141,1.41761,0.000953,0.000953,0.000953
14,503.905,1.1369,1.10718,1.22009,0.9084,0.86271,0.92228,0.61489,1.22481,1.04328,1.35547,0.00092825,0.00092825,0.00092825
15,538.838,1.12326,1.00728,1.2045,0.91423,0.89866,0.92236,0.52311,1.37205,0.92968,1.51411,0.0009035,0.0009035,0.0009035
16,574.041,1.08393,0.98953,1.20093,0.9612,0.91166,0.9791,0.62885,1.25993,0.90399,1.39482,0.00087875,0.00087875,0.00087875
17,608.942,1.10953,0.9837,1.22719,0.9562,0.94736,0.97089,0.6228,1.29578,0.84535,1.46113,0.000854,0.000854,0.000854
18,644.035,1.08633,0.94699,1.20766,0.93784,0.89012,0.97233,0.64717,1.24171,0.8673,1.42228,0.00082925,0.00082925,0.00082925
19,680.513,1.07263,0.90204,1.1822,0.88987,0.91351,0.96248,0.60586,1.37385,0.89181,1.59737,0.0008045,0.0008045,0.0008045
20,716.359,1.13054,0.93258,1.2153,0.93193,0.93447,0.97004,0.63168,1.36346,0.81678,1.55304,0.00077975,0.00077975,0.00077975
21,756.303,1.06038,0.85333,1.16282,0.98135,0.96582,0.99,0.66426,1.21251,0.74168,1.39102,0.000755,0.000755,0.000755
22,791.567,1.02482,0.84968,1.14153,0.96756,0.9692,0.97265,0.61526,1.26823,0.75834,1.48115,0.00073025,0.00073025,0.00073025
23,825.557,1.02671,0.82722,1.1473,0.94574,0.95299,0.95312,0.60425,1.27082,0.75519,1.43948,0.0007055,0.0007055,0.0007055
24,860.286,0.99587,0.75749,1.13762,0.93942,0.8812,0.91037,0.6047,1.36388,0.80219,1.59315,0.00068075,0.00068075,0.00068075
25,897.173,0.99638,0.7887,1.1321,0.94228,0.89267,0.91754,0.62048,1.27589,0.77666,1.4746,0.000656,0.000656,0.000656
26,939.013,0.95192,0.7638,1.13841,0.91894,0.95299,0.94971,0.66285,1.22311,0.74654,1.47359,0.00063125,0.00063125,0.00063125
27,981.289,0.96392,0.72614,1.13336,0.92034,0.94684,0.95698,0.67854,1.13092,0.68423,1.38323,0.0006065,0.0006065,0.0006065
28,1016.49,0.94593,0.72168,1.11542,0.96554,0.93216,0.95911,0.648,1.23832,0.67376,1.46253,0.00058175,0.00058175,0.00058175
29,1050.8,0.94521,0.70829,1.11054,0.95545,0.90131,0.9428,0.62741,1.26742,0.66715,1.48647,0.000557,0.000557,0.000557
30,1084.59,0.94103,0.71297,1.10488,0.92117,0.91293,0.94079,0.62422,1.23569,0.69708,1.50083,0.00053225,0.00053225,0.00053225
31,1116.82,0.90124,0.66614,1.08786,0.94521,0.93216,0.95857,0.65078,1.23415,0.66364,1.48663,0.0005075,0.0005075,0.0005075
32,1149.29,0.92163,0.68654,1.10184,0.91379,0.93376,0.94146,0.6284,1.32185,0.70793,1.6278,0.00048275,0.00048275,0.00048275
33,1182.78,0.90903,0.69434,1.11181,0.95609,0.92998,0.96723,0.65395,1.21753,0.66661,1.46988,0.000458,0.000458,0.000458
34,1215.67,0.91608,0.65573,1.10174,0.94757,0.94226,0.96783,0.63323,1.359,0.67389,1.59739,0.00043325,0.00043325,0.00043325
35,1249.08,0.87732,0.64384,1.07236,0.9623,0.93125,0.9585,0.61392,1.33452,0.66686,1.53643,0.0004085,0.0004085,0.0004085
36,1282.36,0.86765,0.63989,1.08653,0.94571,0.95415,0.97241,0.64668,1.2978,0.66168,1.57069,0.00038375,0.00038375,0.00038375
37,1317.96,0.85192,0.62044,1.0597,0.96319,0.98016,0.99346,0.65484,1.26373,0.59927,1.55632,0.000359,0.000359,0.000359
38,1352.84,0.85242,0.62158,1.07247,0.98449,0.95139,0.99071,0.65718,1.18413,0.60104,1.41913,0.00033425,0.00033425,0.00033425
39,1386.76,0.82867,0.66667,1.06512,0.95723,0.94689,0.97242,0.62223,1.33467,0.62725,1.55173,0.0003095,0.0003095,0.0003095
40,1420.79,0.84359,0.59377,1.05939,0.96294,0.92273,0.96936,0.64209,1.27902,0.60335,1.51579,0.00028475,0.00028475,0.00028475
